;date;price;hashrate;difficulty;reward;e_min_005;e_min_010;e_min_014;c_btc_005;c_btc_010;c_btc_014;max_k_antminer;max_k_bitfury;min_consumption;max_consumption_005;max_consumption_014;mixed_consumption_005;c_btc_005_max_e;c_btc_010_max_e;c_btc_014_max_e
3621;31/01/2009;0.0;6.41262478222e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3620;01/02/2009;0.0;5.76639127704e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3619;02/02/2009;0.0;6.31320424296e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3618;03/02/2009;0.0;6.76059666963e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3617;04/02/2009;0.0;6.11436316444e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3616;05/02/2009;0.0;6.01494262519e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3615;06/02/2009;0.0;6.41262478222e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3614;07/02/2009;0.0;6.26349397333e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3613;08/02/2009;0.0;6.6611761303699995e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3612;09/02/2009;0.0;6.36291451259e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3611;10/02/2009;0.0;6.31320424296e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3610;11/02/2009;0.0;6.51204532148e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3609;12/02/2009;0.0;5.8658118163e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3608;13/02/2009;0.0;6.16407343407e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3607;14/02/2009;0.0;7.00914801778e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3606;15/02/2009;0.0;6.06465289481e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3605;16/02/2009;0.0;6.11436316444e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3604;17/02/2009;0.0;5.8658118163e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3603;18/02/2009;0.0;6.16407343407e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3602;19/02/2009;0.0;5.81610154667e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3601;20/02/2009;0.0;6.36291451259e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3600;21/02/2009;0.0;5.46812965926e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
3599;22/02/2009;0.0;6.01494262519e-06;1.0;50.0;inf;inf;inf;1.1248788149265616e-10;2.3734942994950446e-10;3.149660681794372e-10;0.0;0.0;inf;0.0;0.0;inf;inf;inf;inf
